Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T16:42:25.571582900Z,main,READ,contains,treeLock acquired,10
2025-05-06T16:42:25.572582800Z,main,READ,contains,treeLock released,10
2025-05-06T16:42:25.574583500Z,main,WRITE,add,trying,10
2025-05-06T16:42:25.574583500Z,main,WRITE,add,treeLock acquired,10
2025-05-06T16:42:25.575583300Z,main,WRITE,add,created root,10
2025-05-06T16:42:25.577583300Z,main,WRITE,add,treeLock released,10
2025-05-06T16:42:25.577583300Z,main,WRITE,add,trying,5
2025-05-06T16:42:25.578583200Z,main,WRITE,add,treeLock acquired,5
2025-05-06T16:42:25.579584100Z,main,WRITE,add,treeLock released,5
2025-05-06T16:42:25.580583600Z,main,WRITE,add,trying,15
2025-05-06T16:42:25.581582600Z,main,WRITE,add,treeLock acquired,15
2025-05-06T16:42:25.582583100Z,main,WRITE,add,treeLock released,15
2025-05-06T16:42:25.583582900Z,main,WRITE,add,trying,2
2025-05-06T16:42:25.584582800Z,main,WRITE,add,treeLock acquired,2
2025-05-06T16:42:25.586584Z,main,WRITE,add,treeLock released,2
2025-05-06T16:42:25.586584Z,main,WRITE,add,trying,7
2025-05-06T16:42:25.587583Z,main,WRITE,add,treeLock acquired,7
2025-05-06T16:42:25.587583Z,main,WRITE,add,treeLock released,7
2025-05-06T16:42:25.588582800Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.589583100Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.591583400Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.592582600Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.592582600Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.593582400Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.604590Z,main,WRITE,corrupt,trying,7->20
2025-05-06T16:42:25.606589900Z,main,WRITE,corrupt,acquired,7->20
2025-05-06T16:42:25.607590Z,main,WRITE,corrupt,corrupted,7->20
2025-05-06T16:42:25.608590600Z,main,WRITE,corrupt,released,7->20
